Date,State,School,Fatalities,Wounded,Total
12/01/2016,Utah,MS,0,0,0
1/20/2017,Ohio,HS,0,1,1
1/20/2017,Washington,C,0,1,1
3/21/2017,California,HS,0,1,1
04/10/2017,California,ES,3,1,4
05/04/2017,Texas,C,2,0,2
9/13/2017,Washington,HS,1,3,4
9/20/2017,Illinois,HS,0,1,1
11/14/2017,California,ES,6,18,24
12/07/2017,New Mexico,HS,3,0,3
01/09/2018,Iowa,-,0,0,0
1/20/2018,North Carolina,C,1,0,1
1/22/2018,Texas,HS,0,1,1
1/22/2018,Louisiana,HS,0,1,1
1/23/2018,Kentucky,HS,2,18,20
02/01/2018,California,MS,0,5,5
2/14/2018,Florida,HS,17,14,31
03/02/2018,Michigan,C,2,0,2
03/07/2018,Alabama,HS,1,2,3
3/14/2018,Alabama,C,2,1,3
3/20/2018,Maryland,HS,2,1,3
4/20/2018,Florida,HS,0,1,1
05/11/2018,California,HS,0,1,1
5/16/2018,Texas,HS,0,1,1
5/18/2018,Texas,HS,10,10,20
5/18/2018,Georgia,HS,1,3,4
5/25/2018,Indiana,MS,0,2,2
8/17/2018,Florida,HS,0,2,2
8/30/2018,California,HS,0,1,1
09/05/2018,Rhode Island,HS,1,1,2
09/10/2018,Tennessee,HS,0,1,1
09/11/2018,Nevada,HS,1,0,1
10/29/2018,North Carolina,HS,1,1,2
12/13/2018,Indiana,MS,1,0,1
1/25/2019,Alabama,HS,0,2,2
02/08/2019,Maryland,HS,0,1,1
02/12/2019,Missouri,HS,1,0,1
2/14/2019,New Mexico,HS,0,0,0
3/22/2019,Alabama,ES,0,1,1
04/01/2019,Arizona,HS,0,1,1
4/25/2019,Georgia,ES,0,10,10
4/30/2019,North Carolina,C,2,4,6
05/04/2019,Oregon,C,1,0,1
05/06/2019,Florida,ES,0,0,0
05/07/2019,Colorado,HS,1,7,8
05/07/2019,Georgia,C,0,1,1
08/08/2019,Alabama,ES,0,0,0
8/30/2019,Alabama,HS,0,10,10
10/22/2019,California,HS,0,1,1
11/14/2019,California,HS,2,4,6
11/15/2019,New Jersey,HS,1,2,3
11/23/2019,California,ES,2,0,2
12/02/2019,Wisconsin,HS,0,1,1
12/03/2019,Wisconsin,HS,0,2,2
01/08/2020,Florida,HS,0,1,1
01/11/2020,Texas,HS,1,1,2
1/14/2020,Texas,HS,1,0,1
1/14/2020,Texas,HS,0,2,2
1/23/2020,California,ES,0,1,1
02/03/2020,Texas,C,2,1,3
